"Trial"	"Code"	"ResponseCode"	"Accuracy"	"RT"	"cumTime"	"Subject"	"Congruency"	"Task"	"Gender"	"Race"	"Valence"	"Switch"
68	62	11	1	110	20012	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
69	70	1	0	100	20255	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
70	63	2	0	212	20615	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
71	63	11	1	350	21085	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
72	63	12	1	158	21568	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
73	61	12	1	182	21858	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
74	80	11	1	149	22171	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
75	60	12	1	150	22451	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"
76	60	12	1	128	22734	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
77	63	11	1	190	22994	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
78	70	12	1	169	23317	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
79	60	12	1	150	23617	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"
80	63	11	1	218	23900	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
81	80	11	1	219	24250	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
82	70	12	1	186	24600	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Stay"
83	61	12	1	119	24916	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
84	60	12	1	126	25166	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
85	63	11	1	131	25426	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
86	70	12	1	151	25689	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
87	62	11	1	150	25972	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Switch"
88	60	12	1	126	26256	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
89	62	11	1	115	26516	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
90	61	12	1	230	26762	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
91	63	2	0	185	27125	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
92	70	12	1	242	27568	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
93	70	12	1	167	27942	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Stay"
94	63	12	1	138	28241	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
95	60	12	1	127	28511	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
96	62	11	1	108	28771	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
97	80	11	1	99	29011	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
98	62	11	1	115	29241	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Switch"
99	80	11	1	110	29487	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
100	63	11	1	160	29731	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
101	63	11	1	111	30024	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
102	70	12	1	169	30267	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
103	60	1	0	139	30567	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"
104	80	11	1	168	30963	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
105	61	12	1	131	31263	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
106	61	12	1	146	31526	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
107	80	11	1	115	31803	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
108	63	11	1	175	32050	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
109	70	12	1	145	32356	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
110	70	12	1	151	32633	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Stay"
111	62	11	1	207	32916	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Switch"
112	62	11	1	110	33256	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
113	61	12	1	135	33499	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
114	80	11	1	127	33765	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
115	60	12	1	139	34025	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"
116	80	11	1	204	34295	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
117	63	2	0	231	34632	"005"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
118	61	12	1	154	35121	"005"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
119	80	11	1	130	35408	"005"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
120	62	11	1	165	35671	"005"	"congruent"	"Name"	"Female"	"White"	NA	"Switch"
121	70	1	0	240	35968	"005"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
122	60	1	0	134	36467	"005"	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"
1	70	11	1	183	399	"005"	"incongruent"	"Word"	NA	NA	"Bad"	NA
2	80	12	1	142	713	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Stay"
3	60	1	0	157	986	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"
4	60	12	1	244	1402	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"
5	70	11	1	248	1779	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
6	61	12	1	149	2159	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"
7	62	11	1	222	2438	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"
8	80	12	1	203	2792	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
9	63	11	1	150	3128	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"
10	63	11	1	202	3408	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
11	63	2	0	367	3741	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
12	80	12	1	380	4368	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
13	60	1	0	387	4881	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"
14	61	12	1	256	5527	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"
15	62	11	1	249	5913	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"
16	70	11	1	301	6293	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
17	70	2	0	285	6726	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Stay"
18	62	11	1	316	7269	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"
19	80	12	1	234	7716	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
20	63	11	1	219	8082	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"
21	80	12	1	183	8432	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
22	61	12	1	261	8749	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"
23	63	11	1	157	9142	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
24	70	11	1	235	9432	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
25	60	12	1	256	9798	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"
26	62	11	1	210	10185	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"
27	80	12	1	291	10528	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
28	62	11	1	134	10951	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"
29	62	11	1	147	11218	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"
30	63	11	1	208	11497	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
31	70	11	1	190	11837	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
32	61	12	1	193	12157	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"
33	60	12	1	114	12484	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"
34	60	12	1	100	12730	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"
35	80	1	0	153	12963	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
36	61	12	1	368	13373	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"
37	70	11	1	168	13873	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
38	63	11	1	237	14173	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"
39	63	11	1	121	14543	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
40	70	11	1	120	14796	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
41	62	11	1	141	15049	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"
42	80	1	0	92	15322	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
43	61	12	1	323	15672	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"
44	60	12	1	144	16125	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"
45	61	12	1	93	16402	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"
46	61	12	1	101	16628	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"
47	70	2	0	154	16862	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
48	63	11	1	321	17275	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"
49	62	11	1	160	17728	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"
50	80	12	1	161	18021	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
51	61	12	1	189	18314	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"
52	60	12	1	148	18634	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"
53	60	12	1	127	18914	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"
54	61	12	1	97	19174	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"
55	62	2	0	100	19404	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"
56	63	11	1	175	19763	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
57	80	12	1	288	20070	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
58	61	12	1	190	20490	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"
59	60	12	1	120	20813	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"
60	70	2	0	300	21066	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
61	63	11	1	298	21626	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"
62	62	11	1	101	22056	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"
63	61	1	0	103	22289	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"
64	60	12	1	243	22652	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"
65	80	12	1	341	23029	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
66	62	11	1	229	23502	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"
67	62	11	1	159	23861	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"
68	70	11	1	163	24151	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
69	63	11	1	129	24445	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"
70	63	11	1	111	24708	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
71	63	12	1	130	24951	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
72	61	12	1	170	25214	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"
73	80	12	1	170	25517	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
74	60	12	1	125	25821	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"
75	60	12	1	119	26077	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"
76	63	11	1	141	26327	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
77	70	11	1	193	26600	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
78	60	1	0	101	26923	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"
79	63	11	1	286	27283	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
80	80	12	1	197	27700	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
81	70	11	1	154	28029	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Stay"
82	61	1	0	129	28316	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"
83	60	12	1	297	28702	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"
84	63	11	1	126	29132	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
85	70	11	1	189	29389	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
86	62	11	1	115	29709	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"
87	60	12	1	146	29955	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"
88	62	2	0	102	30235	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"
89	61	1	0	160	30595	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"
90	63	11	1	415	31015	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
91	70	11	1	177	31561	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
92	70	11	1	157	31871	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Stay"
93	63	1	0	180	32161	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"
94	60	12	1	283	32601	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Stay"
95	62	11	1	124	33017	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"
96	80	12	1	178	33274	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
97	62	11	1	167	33583	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"
98	80	1	0	176	33880	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
99	63	11	1	309	34313	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"
100	63	11	1	147	34753	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Stay"
101	70	2	0	158	35033	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
102	60	12	1	183	35449	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"
103	80	12	1	288	35766	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
104	61	12	1	130	36186	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Switch"
105	61	12	1	116	36449	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"
106	80	12	1	213	36695	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
107	63	2	0	127	37042	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"
108	70	11	1	429	37428	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
109	70	2	0	155	37988	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Stay"
110	62	11	1	446	38401	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"
111	62	11	1	123	38978	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Stay"
112	61	12	1	155	39234	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"
113	80	12	1	256	39521	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
114	60	12	1	142	39910	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"
115	80	1	0	483	40184	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
116	63	11	1	203	40927	"005"	"incongruent"	"Name"	"Male"	"White"	NA	"Switch"
117	61	12	1	162	41263	"005"	"incongruent"	"Name"	"Male"	"Black"	NA	"Stay"
118	80	12	1	138	41556	"005"	"incongruent"	"Word"	NA	NA	"Good"	"Switch"
119	62	11	1	224	41826	"005"	"incongruent"	"Name"	"Female"	"White"	NA	"Switch"
120	70	11	1	181	42183	"005"	"incongruent"	"Word"	NA	NA	"Bad"	"Switch"
121	60	12	1	192	42496	"005"	"incongruent"	"Name"	"Female"	"Black"	NA	"Switch"
1	70	12	1	247	332	"006"	"congruent"	"Word"	NA	NA	"Bad"	NA
2	80	11	1	131	712	"006"	"congruent"	"Word"	NA	NA	"Good"	"Stay"
3	60	12	1	156	975	"006"	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"
4	60	12	1	121	1261	"006"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
5	70	12	1	157	1515	"006"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
6	61	12	1	133	1804	"006"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
7	62	11	1	197	2068	"006"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
8	80	11	1	140	2397	"006"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
9	63	11	1	130	2667	"006"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
10	63	11	1	136	2931	"006"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
11	63	11	1	120	3200	"006"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
12	80	11	1	127	3454	"006"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
13	60	12	1	158	3713	"006"	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"
14	61	12	1	165	4003	"006"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
15	62	11	1	174	4300	"006"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
16	70	12	1	149	4606	"006"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
17	70	12	1	141	4886	"006"	"congruent"	"Word"	NA	NA	"Bad"	"Stay"
18	62	11	1	120	5159	"006"	"congruent"	"Name"	"Female"	"White"	NA	"Switch"
19	80	2	0	171	5409	"006"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
20	63	11	1	387	5839	"006"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
21	80	11	1	152	6359	"006"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
22	61	12	1	161	6642	"006"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
23	63	11	1	142	6935	"006"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
24	70	12	1	160	7208	"006"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
25	60	1	0	128	7498	"006"	"congruent"	"Name"	"Female"	"Black"	NA	"Switch"
26	62	11	1	511	7885	"006"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
27	80	11	1	138	8528	"006"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
28	62	11	1	178	8798	"006"	"congruent"	"Name"	"Female"	"White"	NA	"Switch"
29	62	11	1	156	9108	"006"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
30	63	11	1	143	9394	"006"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
31	70	12	1	174	9667	"006"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
32	61	12	1	181	9974	"006"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
33	60	12	1	146	10287	"006"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
34	60	12	1	144	10564	"006"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
35	80	11	1	144	10840	"006"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
36	61	12	1	149	11117	"006"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
37	70	12	1	231	11400	"006"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
38	63	11	1	163	11763	"006"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
39	63	11	1	144	12059	"006"	"congruent"	"Name"	"Male"	"White"	NA	"Stay"
40	70	1	0	147	12336	"006"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
41	62	11	1	406	12742	"006"	"congruent"	"Name"	"Female"	"White"	NA	"Switch"
42	80	11	1	151	13279	"006"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
43	61	12	1	171	13562	"006"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
44	60	1	0	220	13865	"006"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
45	61	12	1	234	14345	"006"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
46	61	12	1	152	14712	"006"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
47	70	12	1	333	14995	"006"	"congruent"	"Word"	NA	NA	"Bad"	"Switch"
48	63	11	1	190	15461	"006"	"congruent"	"Name"	"Male"	"White"	NA	"Switch"
49	62	11	1	290	15784	"006"	"congruent"	"Name"	"Female"	"White"	NA	"Stay"
50	80	11	1	112	16207	"006"	"congruent"	"Word"	NA	NA	"Good"	"Switch"
51	61	12	1	189	16451	"006"	"congruent"	"Name"	"Male"	"Black"	NA	"Switch"
52	60	12	1	298	16774	"006"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
53	60	12	1	156	17204	"006"	"congruent"	"Name"	"Female"	"Black"	NA	"Stay"
54	61	12	1	136	17490	"006"	"congruent"	"Name"	"Male"	"Black"	NA	"Stay"
